    192.168.42.151;192.168.42.1;1;ads.androworks.org;
    192.168.42.151;192.168.42.1;1;klara.udplogger.androworks.org;
    192.168.42.151;192.168.42.1;1;mtalk4.google.com;
    192.168.42.151;192.168.42.1;1;play.googleapis.com;
    192.168.42.151;192.168.42.1;1;play.googleapis.com;
    192.168.42.151;192.168.42.1;1;r2---sn-cgovpm-cg9e.gvt1.com;
    192.168.42.151;192.168.42.1;1;safebrowsing.googleapis.com;
    192.168.42.151;192.168.42.1;1;www.google.com;
    192.168.42.151;192.168.42.1;1;www.googleapis.com;
    192.168.42.151;192.168.42.1;1;www.googleapis.com;
    192.168.42.157;192.168.42.1;1;0.ubuntu.pool.ntp.org;
    192.168.42.157;192.168.42.1;1;1.ubuntu.pool.ntp.org;
    192.168.42.157;192.168.42.1;1;2.ubuntu.pool.ntp.org;
    192.168.42.157;192.168.42.1;1;3.ubuntu.pool.ntp.org;
    192.168.42.157;192.168.42.1;1;daisy.ubuntu.com;
    192.168.42.157;192.168.42.1;1;dl.ubnt.com;
    192.168.42.157;192.168.42.1;1;ntp.ubuntu.com;
    192.168.42.157;192.168.42.1;1;www.ubnt.com;
    192.168.42.157;192.168.42.1;28;0.ubuntu.pool.ntp.org;
    192.168.42.157;192.168.42.1;28;1.ubuntu.pool.ntp.org;
    192.168.42.157;192.168.42.1;28;2.ubuntu.pool.ntp.org;
    192.168.42.157;192.168.42.1;28;3.ubuntu.pool.ntp.org;
    192.168.42.157;192.168.42.1;28;daisy.ubuntu.com;
    192.168.42.157;192.168.42.1;28;dl.ubnt.com;
    192.168.42.157;192.168.42.1;28;ntp.ubuntu.com;
    192.168.42.157;192.168.42.1;28;www.ubnt.com;
    192.168.42.157;192.168.42.1;6;local;
    192.168.42.157;192.168.42.1;6;local;
    192.168.42.157;224.0.0.251;12,12;_ipps._tcp.local,_ipp._tcp.local;
    192.168.42.157;224.0.0.251;12,12;_ipps._tcp.local,_ipp._tcp.local;
    192.168.42.157;224.0.0.251;12,12;_ipps._tcp.local,_ipp._tcp.local;
    192.168.42.157;224.0.0.251;12,12;_ipps._tcp.local,_ipp._tcp.local;
    192.168.42.157;224.0.0.251;12,12;_ipps._tcp.local,_ipp._tcp.local;
    192.168.42.157;224.0.0.251;12,12;_ipps._tcp.local,_ipp._tcp.local;
    192.168.42.157;224.0.0.251;12,12;_ipps._tcp.local,_ipp._tcp.local;
    192.168.42.157;224.0.0.251;12,12;_ipps._tcp.local,_ipp._tcp.local;
    192.168.42.157;224.0.0.251;12,12;_ipps._tcp.local,_ipp._tcp.local;
    192.168.42.157;224.0.0.251;12,12;_ipps._tcp.local,_ipp._tcp.local;
    192.168.42.157;224.0.0.251;12,12;_ipps._tcp.local,_ipp._tcp.local;
    192.168.42.157;224.0.0.251;12,12;_ipps._tcp.local,_ipp._tcp.local;
    192.168.42.157;224.0.0.251;12,12;_ipps._tcp.local,_ipp._tcp.local;
    192.168.42.157;224.0.0.251;12,12;_ipps._tcp.local,_ipp._tcp.local;
    192.168.42.157;224.0.0.251;12,12;_ipps._tcp.local,_ipp._tcp.local;
    192.168.42.157;224.0.0.251;12,12;_ipps._tcp.local,_ipp._tcp.local;
    192.168.42.157;224.0.0.251;12,12;_ipps._tcp.local,_ipp._tcp.local;
    192.168.42.157;224.0.0.251;12,12;_ipps._tcp.local,_ipp._tcp.local;
    192.168.42.157;224.0.0.251;255,255,255,255;3.0.e.5.b.7.e.f.f.f.d.f.b.8.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,radek-ntb.local,157.42.168.192.in-addr.arpa,radek-ntb [0c:8b:fd:7b:5e:03]._workstation._tcp.local;192.168.42.157
    192.168.42.157;224.0.0.251;255,255,255,255;3.0.e.5.b.7.e.f.f.f.d.f.b.8.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,radek-ntb.local,157.42.168.192.in-addr.arpa,radek-ntb [0c:8b:fd:7b:5e:03]._workstation._tcp.local;192.168.42.157
    192.168.42.157;224.0.0.251;255,255,255,255;3.0.e.5.b.7.e.f.f.f.d.f.b.8.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,radek-ntb.local,157.42.168.192.in-addr.arpa,radek-ntb [0c:8b:fd:7b:5e:03]._workstation._tcp.local;192.168.42.157
    192.168.42.157;224.0.0.251;255,255,255,255;3.0.e.5.b.7.e.f.f.f.d.f.b.8.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,radek-ntb.local,157.42.168.192.in-addr.arpa,radek-ntb [0c:8b:fd:7b:5e:03]._workstation._tcp.local;192.168.42.157
    192.168.42.157;224.0.0.251;255,255,255,255;3.0.e.5.b.7.e.f.f.f.d.f.b.8.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,radek-ntb.local,157.42.168.192.in-addr.arpa,radek-ntb [0c:8b:fd:7b:5e:03]._workstation._tcp.local;192.168.42.157
    192.168.42.157;224.0.0.251;255,255,255,255;3.0.e.5.b.7.e.f.f.f.d.f.b.8.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,radek-ntb.local,157.42.168.192.in-addr.arpa,radek-ntb [0c:8b:fd:7b:5e:03]._workstation._tcp.local;192.168.42.157
    192.168.42.16;192.168.1.1;1;beacons.gcp.gvt2.com;
    192.168.42.16;192.168.1.1;1;datasaver.googleapis.com;
    192.168.42.16;192.168.1.1;1;proxy.googlezip.net;
    192.168.42.16;192.168.1.1;1;proxy.googlezip.net;
    192.168.42.16;192.168.1.1;1;www.google.com;
    192.168.42.16;192.168.1.1;1;www.google.com;
    192.168.42.16;192.168.42.1;12;155.76.186.10.in-addr.arpa;
    192.168.42.16;192.168.42.1;12;16.42.168.192.in-addr.arpa;
    192.168.42.16;192.168.42.1;1;1gr.cz;
    192.168.42.16;192.168.42.1;1;a.blesk.cz;
    192.168.42.16;192.168.42.1;1;a.centrum.cz;
    192.168.42.16;192.168.42.1;1;a.denik.cz;
    192.168.42.16;192.168.42.1;1;abroad.apilocate.amap.com;
    192.168.42.16;192.168.42.1;1;adservice.google.com;
    192.168.42.16;192.168.42.1;1;adservice.google.cz;
    192.168.42.16;192.168.42.1;1;adx.adform.net;
    192.168.42.16;192.168.42.1;1;android.clients.google.com;
    192.168.42.16;192.168.42.1;1;android.googleapis.com;
    192.168.42.16;192.168.42.1;1;api.chat.xiaomi.net;
    192.168.42.16;192.168.42.1;1;api.facebook.com;
    192.168.42.16;192.168.42.1;1;api.github.com;
    192.168.42.16;192.168.42.1;1;api.io.mi.com;
    192.168.42.16;192.168.42.1;1;app-measurement.com;
    192.168.42.16;192.168.42.1;1;assets-cdn.github.com;
    192.168.42.16;192.168.42.1;1;assets.adobedtm.com;
    192.168.42.16;192.168.42.1;1;auto.idnes.cz;
    192.168.42.16;192.168.42.1;1;avatars0.githubusercontent.com;
    192.168.42.16;192.168.42.1;1;avatars1.githubusercontent.com;
    192.168.42.16;192.168.42.1;1;avatars2.githubusercontent.com;
    192.168.42.16;192.168.42.1;1;avatars3.githubusercontent.com;
    192.168.42.16;192.168.42.1;1;b-api.facebook.com;
    192.168.42.16;192.168.42.1;1;b-api.facebook.com;
    192.168.42.16;192.168.42.1;1;b-graph.facebook.com;
    192.168.42.16;192.168.42.1;1;backend.analights.com;
    192.168.42.16;192.168.42.1;1;bbcdn-tag.ibillboard.com;
    192.168.42.16;192.168.42.1;1;bbcdn.go.ibillboard.bbelements.com;
    192.168.42.16;192.168.42.1;1;bbnaut.ibillboard.com;
    192.168.42.16;192.168.42.1;1;beacons.gcp.gvt2.com;
    192.168.42.16;192.168.42.1;1;beacons5.gvt3.com;
    192.168.42.16;192.168.42.1;1;c-ng.imedia.cz;
    192.168.42.16;192.168.42.1;1;c.imedia.cz;
    192.168.42.16;192.168.42.1;1;cas.criteo.com;
    192.168.42.16;192.168.42.1;1;cdn.cpex.cz;
    192.168.42.16;192.168.42.1;1;check.googlezip.net;
    192.168.42.16;192.168.42.1;1;ci3.googleusercontent.com;
    192.168.42.16;192.168.42.1;1;ci5.googleusercontent.com;
    192.168.42.16;192.168.42.1;1;ci6.googleusercontent.com;
    192.168.42.16;192.168.42.1;1;clients3.google.com;
    192.168.42.16;192.168.42.1;1;clients4.google.com;
    192.168.42.16;192.168.42.1;1;clients4.google.com;
    192.168.42.16;192.168.42.1;1;collector.githubapp.com;
    192.168.42.16;192.168.42.1;1;connect.facebook.net;
    192.168.42.16;192.168.42.1;1;connectivitycheck.gstatic.com;
    192.168.42.16;192.168.42.1;1;cpex.demdex.net;
    192.168.42.16;192.168.42.1;1;cz.search.etargetnet.com;
    192.168.42.16;192.168.42.1;1;d49-a.sdn.szn.cz;
    192.168.42.16;192.168.42.1;1;data.idnes.cz;
    192.168.42.16;192.168.42.1;1;dfejgqmjcc;
    192.168.42.16;192.168.42.1;1;eloutyvtdygjjb;
    192.168.42.16;192.168.42.1;1;fonts.googleapis.com;
    192.168.42.16;192.168.42.1;1;fonts.gstatic.com;
    192.168.42.16;192.168.42.1;1;g.whatsapp.net;
    192.168.42.16;192.168.42.1;1;github-cloud.s3.amazonaws.com;
    192.168.42.16;192.168.42.1;1;github.com;
    192.168.42.16;192.168.42.1;1;go.cz.bbelements.com;
    192.168.42.16;192.168.42.1;1;go.idnes.bbelements.com;
    192.168.42.16;192.168.42.1;1;google.cz;
    192.168.42.16;192.168.42.1;1;googleads.g.doubleclick.net;
    192.168.42.16;192.168.42.1;1;graph.facebook.com;
    192.168.42.16;192.168.42.1;1;graph.facebook.com;
    192.168.42.16;192.168.42.1;1;graph.facebook.com;
    192.168.42.16;192.168.42.1;1;graph.instagram.com;
    192.168.42.16;192.168.42.1;1;h.imedia.cz;
    192.168.42.16;192.168.42.1;1;ia.idnes.cz;
    192.168.42.16;192.168.42.1;1;imasdk.googleapis.com;
    192.168.42.16;192.168.42.1;1;img.youtube.com;
    192.168.42.16;192.168.42.1;1;inbox.google.com;
    192.168.42.16;192.168.42.1;1;log.trackad.cz;
    192.168.42.16;192.168.42.1;1;ls.hit.gemius.pl;
    192.168.42.16;192.168.42.1;1;mmg-fna.whatsapp.net;
    192.168.42.16;192.168.42.1;1;mqtt-mini.facebook.com;
    192.168.42.16;192.168.42.1;1;mtalk.google.com;
    192.168.42.16;192.168.42.1;1;optimized-by.rubiconproject.com;
    192.168.42.16;192.168.42.1;1;pagead2.googlesyndication.com;
    192.168.42.16;192.168.42.1;1;pixel.cpex.cz;
    192.168.42.16;192.168.42.1;1;pixel.rubiconproject.com;
    192.168.42.16;192.168.42.1;1;r1---sn-cgovpm-cg9e.googlevideo.com;
    192.168.42.16;192.168.42.1;1;r4---sn-2gb7sn7k.googlevideo.com;
    192.168.42.16;192.168.42.1;1;redirector.googlevideo.com;
    192.168.42.16;192.168.42.1;1;resolver.msg.xiaomi.net;
    192.168.42.16;192.168.42.1;1;resolver.msg.xiaomi.net;
    192.168.42.16;192.168.42.1;1;s0.2mdn.net;
    192.168.42.16;192.168.42.1;1;s1.adform.net;
    192.168.42.16;192.168.42.1;1;spir.hit.gemius.pl;
    192.168.42.16;192.168.42.1;1;static.xx.fbcdn.net;
    192.168.42.16;192.168.42.1;1;stats.g.doubleclick.net;
    192.168.42.16;192.168.42.1;1;tishpsh;
    192.168.42.16;192.168.42.1;1;tpc.googlesyndication.com;
    192.168.42.16;192.168.42.1;1;track.adform.net;
    192.168.42.16;192.168.42.1;1;trackad.cz;
    192.168.42.16;192.168.42.1;1;user-images.githubusercontent.com;
    192.168.42.16;192.168.42.1;1;vpn.vutbr.cz;
    192.168.42.16;192.168.42.1;1;weatherapi.market.xiaomi.com;
    192.168.42.16;192.168.42.1;1;www.facebook.com;
    192.168.42.16;192.168.42.1;1;www.google-analytics.com;
    192.168.42.16;192.168.42.1;1;www.google-analytics.com;
    192.168.42.16;192.168.42.1;1;www.google.com;
    192.168.42.16;192.168.42.1;1;www.google.com;
    192.168.42.16;192.168.42.1;1;www.google.cz;
    192.168.42.16;192.168.42.1;1;www.googleadservices.com;
    192.168.42.16;192.168.42.1;1;www.googleapis.com;
    192.168.42.16;192.168.42.1;1;www.googletagmanager.com;
    192.168.42.16;192.168.42.1;1;www.gstatic.com;
    192.168.42.16;192.168.42.1;1;www.youtube.com;
    192.168.42.16;192.168.42.1;28;vpn.vutbr.cz;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_miio._udp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;12;_rc._tcp.local;
    192.168.42.16;224.0.0.251;255;192-168-42-16.local;192.168.42.16
    192.168.42.16;224.0.0.251;255;192-168-42-16.local;192.168.42.16
    192.168.42.16;224.0.0.251;255;192-168-42-16.local;192.168.42.16
    192.168.42.16;224.0.0.251;255;192-168-42-16.local;192.168.42.16
    192.168.42.16;224.0.0.251;255;192-168-42-16.local;192.168.42.16
    192.168.42.16;224.0.0.251;255;192-168-42-16.local;192.168.42.16
    192.168.42.16;224.0.0.251;255;192-168-42-16.local;192.168.42.16
    192.168.42.16;224.0.0.251;255;192-168-42-16.local;192.168.42.16
    192.168.42.16;224.0.0.251;255;192-168-42-16.local;192.168.42.16
    192.168.42.16;224.0.0.251;255;192-168-42-16.local;192.168.42.16
    192.168.42.16;224.0.0.251;255;192-168-42-16.local;192.168.42.16
    192.168.42.16;224.0.0.251;255;192-168-42-16.local;192.168.42.16
    192.168.42.16;224.0.0.251;255;192-168-42-16.local;192.168.42.16
    192.168.42.16;224.0.0.251;255;192-168-42-16.local;192.168.42.16
    192.168.42.16;224.0.0.251;255;192-168-42-16.local;192.168.42.16
    192.168.42.16;224.0.0.251;255;192-168-42-16.local;192.168.42.16
    192.168.42.1;224.0.0.251;12,12,12,12,12,12,12,12,12;_nfs._tcp.local,_ipp._tcp.local,_ipps._tcp.local,_ftp._tcp.local,_webdav._tcp.local,_webdavs._tcp.local,_sftp-ssh._tcp.local,_smb._tcp.local,_afpovertcp._tcp.local;
    192.168.42.1;224.0.0.251;12,12,12,12,12,12,12,12,12;_nfs._tcp.local,_ipp._tcp.local,_ipps._tcp.local,_ftp._tcp.local,_webdav._tcp.local,_webdavs._tcp.local,_sftp-ssh._tcp.local,_smb._tcp.local,_afpovertcp._tcp.local;
    192.168.42.41;192.168.42.1;1;api-global.netflix.com;
    192.168.42.41;192.168.42.1;1;apidata.googleusercontent.com;
    192.168.42.41;192.168.42.1;1;apresolve.spotify.com;
    192.168.42.41;192.168.42.1;1;cbp.nccp.netflix.com;
    192.168.42.41;192.168.42.1;1;cbp.nccp.netflix.com;
    192.168.42.41;192.168.42.1;1;client.wns.windows.com;
    192.168.42.41;192.168.42.1;1;dc.services.visualstudio.com;
    192.168.42.41;192.168.42.1;1;gew1-accesspoint-b-0t5h.ap.spotify.com;
    192.168.42.41;192.168.42.1;1;go.microsoft.com;
    192.168.42.41;192.168.42.1;1;imap.gmail.com;
    192.168.42.41;192.168.42.1;1;inference.location.live.net;
    192.168.42.41;192.168.42.1;1;mobile-ap.spotify.com;
    192.168.42.41;192.168.42.1;1;occ-0-399-401.1.nflxso.net;
    192.168.42.41;192.168.42.1;1;occ-1-399-401.1.nflxso.net;
    192.168.42.41;192.168.42.1;1;occ-2-399-401.1.nflxso.net;
    192.168.42.41;192.168.42.1;1;ocsp.digicert.com;
    192.168.42.41;192.168.42.1;1;s.symcd.com;
    192.168.42.41;192.168.42.1;1;ss.symcd.com;
    192.168.42.41;192.168.42.1;1;status.thawte.com;
    192.168.42.41;192.168.42.1;1;tp.akam.nflximg.com;
    192.168.42.41;192.168.42.1;1;vectmap.mapy.cz;
    192.168.42.41;192.168.42.1;1;watson.telemetry.microsoft.com;
    192.168.42.41;192.168.42.1;1;www.google.com;
    192.168.42.41;192.168.42.1;1;www.msftconnecttest.com;
    192.168.42.76;192.168.42.1;1;1gr.cz;
    192.168.42.76;192.168.42.1;1;a.blesk.cz;
    192.168.42.76;192.168.42.1;1;a.centrum.cz;
    192.168.42.76;192.168.42.1;1;a.denik.cz;
    192.168.42.76;192.168.42.1;1;ads.rubiconproject.com;
    192.168.42.76;192.168.42.1;1;adservice.google.com;
    192.168.42.76;192.168.42.1;1;adservice.google.cz;
    192.168.42.76;192.168.42.1;1;adx.adform.net;
    192.168.42.76;192.168.42.1;1;api.exponea.com;
    192.168.42.76;192.168.42.1;1;app.adjust.com;
    192.168.42.76;192.168.42.1;1;assets.adobedtm.com;
    192.168.42.76;192.168.42.1;1;bbcdn-bbnaut.ibillboard.com;
    192.168.42.76;192.168.42.1;1;bbcdn-tag.ibillboard.com;
    192.168.42.76;192.168.42.1;1;bbcdn.go.cz.bbelements.com;
    192.168.42.76;192.168.42.1;1;bbcdn.go.ibillboard.bbelements.com;
    192.168.42.76;192.168.42.1;1;bbcdn.go.idnes.bbelements.com;
    192.168.42.76;192.168.42.1;1;bbnaut.bbelements.com;
    192.168.42.76;192.168.42.1;1;bbnaut.ibillboard.com;
    192.168.42.76;192.168.42.1;1;bbnaut.m6r.eu;
    192.168.42.76;192.168.42.1;1;c-ng.imedia.cz;
    192.168.42.76;192.168.42.1;1;c.imedia.cz;
    192.168.42.76;192.168.42.1;1;cas.criteo.com;
    192.168.42.76;192.168.42.1;1;cdn.cpex.cz;
    192.168.42.76;192.168.42.1;1;cdn.onthe.io;
    192.168.42.76;192.168.42.1;1;cm.g.doubleclick.net;
    192.168.42.76;192.168.42.1;1;connect.facebook.net;
    192.168.42.76;192.168.42.1;1;connectivitycheck.gstatic.com;
    192.168.42.76;192.168.42.1;1;cpex.demdex.net;
    192.168.42.76;192.168.42.1;1;csi.gstatic.com;
    192.168.42.76;192.168.42.1;1;cz.search.etargetnet.com;
    192.168.42.76;192.168.42.1;1;d49-a.sdn.szn.cz;
    192.168.42.76;192.168.42.1;1;data.adsrvr.org;
    192.168.42.76;192.168.42.1;1;fimg-resp.seznam.cz;
    192.168.42.76;192.168.42.1;1;gcm.ctnsnet.com;
    192.168.42.76;192.168.42.1;1;go.cz.bbelements.com;
    192.168.42.76;192.168.42.1;1;go.idnes.bbelements.com;
    192.168.42.76;192.168.42.1;1;googleads.g.doubleclick.net;
    192.168.42.76;192.168.42.1;1;h.imedia.cz;
    192.168.42.76;192.168.42.1;1;i.ctnsnet.com;
    192.168.42.76;192.168.42.1;1;ih.adscale.de;
    192.168.42.76;192.168.42.1;1;image6.pubmatic.com;
    192.168.42.76;192.168.42.1;1;img.ihned.cz;
    192.168.42.76;192.168.42.1;1;incoming.telemetry.mozilla.org;
    192.168.42.76;192.168.42.1;1;js.adscale.de;
    192.168.42.76;192.168.42.1;1;klara.udplogger.androworks.org;
    192.168.42.76;192.168.42.1;1;log.trackad.cz;
    192.168.42.76;192.168.42.1;1;ls.hit.gemius.pl;
    192.168.42.76;192.168.42.1;1;mtalk.google.com;
    192.168.42.76;192.168.42.1;1;optimized-by.rubiconproject.com;
    192.168.42.76;192.168.42.1;1;p4-b5mswcqqztqeq-56cuox5mnchdf5cl-278402-i1-v6exp3-ds.metric.ipv6test.com;
    192.168.42.76;192.168.42.1;1;p4-b5mswcqqztqeq-56cuox5mnchdf5cl-278402-i2-v6exp3-ds.metric.ipv6test.net;
    192.168.42.76;192.168.42.1;1;p4-b5mswcqqztqeq-56cuox5mnchdf5cl-if-v6exp3-v4.metric.gstatic.com;
    192.168.42.76;192.168.42.1;1;pagead2.googlesyndication.com;
    192.168.42.76;192.168.42.1;1;pixel.cpex.cz;
    192.168.42.76;192.168.42.1;1;pixel.rubiconproject.com;
    192.168.42.76;192.168.42.1;1;s1.adform.net;
    192.168.42.76;192.168.42.1;1;settings.crashlytics.com;
    192.168.42.76;192.168.42.1;1;settings.crashlytics.com;
    192.168.42.76;192.168.42.1;1;spir.hit.gemius.pl;
    192.168.42.76;192.168.42.1;1;stats.g.doubleclick.net;
    192.168.42.76;192.168.42.1;1;sync.mathtag.com;
    192.168.42.76;192.168.42.1;1;tpc.googlesyndication.com;
    192.168.42.76;192.168.42.1;1;track.adform.net;
    192.168.42.76;192.168.42.1;1;trackad.cz;
    192.168.42.76;192.168.42.1;1;tracking.m6r.eu;
    192.168.42.76;192.168.42.1;1;tt.onthe.io;
    192.168.42.76;192.168.42.1;1;www.facebook.com;
    192.168.42.76;192.168.42.1;1;www.google-analytics.com;
    192.168.42.76;192.168.42.1;1;www.google.com;
    192.168.42.76;192.168.42.1;1;www.google.com;
    192.168.42.76;192.168.42.1;1;www.google.cz;
    192.168.42.76;192.168.42.1;1;www.googleadservices.com;
